participant_id,trial_id,ACTION,event_P1_prechoose,event_P1_choose,event_P2_prechoose,event_bet_result_revealed,event_Trial_Offset,event_Trial_Onset,trial_mean,trial_max,trial_max_latency,trial_min,trial_min_latency,first_bin,last_bin,valid_blinks,blinks_mean
09_,86,1,0,1390,4358,0,11860,0,NaN,NaN,2,NaN,2,NaN,NaN,0,NaN
09_,87,0,0,1224,4440,0,11910,0,NaN,NaN,2,NaN,2,NaN,NaN,0,NaN
09_,88,-1,0,1456,4558,0,12228,0,NaN,NaN,2,NaN,2,NaN,NaN,0,NaN
09_,89,1,0,1156,4106,0,11142,0,NaN,NaN,2,NaN,2,NaN,NaN,0,NaN
09_,90,1,0,1592,0,0,13814,0,NaN,NaN,2,NaN,2,NaN,NaN,0,NaN
09_,91,0,0,1136,4120,0,11424,0,NaN,NaN,2,NaN,2,NaN,NaN,0,NaN
09_,92,-1,0,1588,4740,5804,11894,0,NaN,NaN,2,NaN,2,NaN,NaN,0,NaN
09_,93,-1,0,1590,4672,5202,11294,0,NaN,NaN,2,NaN,2,NaN,NaN,0,NaN
09_,94,1,0,1308,4254,6152,12240,0,NaN,NaN,2,NaN,2,NaN,NaN,0,NaN
09_,95,-1,0,1190,4174,0,13078,0,NaN,NaN,2,NaN,2,NaN,NaN,0,NaN
09_,96,0,0,1492,4590,5420,11510,0,NaN,NaN,2,NaN,2,NaN,NaN,0,NaN
09_,97,-1,0,2488,0,0,14880,0,NaN,NaN,2,NaN,2,NaN,NaN,0,NaN
09_,98,0,0,1304,4386,5750,11840,0,NaN,NaN,2,NaN,2,NaN,NaN,0,NaN
09_,99,1,0,2022,4972,0,14542,0,NaN,NaN,2,NaN,2,NaN,NaN,0,NaN
09_,100,0,0,2058,0,0,14264,0,NaN,NaN,2,NaN,2,NaN,NaN,0,NaN
09_,101,-1,0,2734,5870,0,22020,0,NaN,NaN,2,NaN,2,NaN,NaN,0,NaN
09_,102,1,0,1590,4522,0,11728,0,NaN,NaN,2,NaN,2,NaN,NaN,0,NaN
