,bin,time(ms), 1,0,1,
09_,356,711,-0.19538,0.10283,0.1234,
09_,357,713,-0.19538,0.10797,0.1234,
09_,358,715,-0.19538,0.10797,0.12854,
09_,359,717,-0.18853,0.11312,0.12854,
09_,360,719,-0.1851,0.11826,0.12854,
09_,361,721,-0.18167,0.11826,0.13368,
09_,362,723,-0.17482,0.11826,0.13368,
09_,363,725,-0.17482,0.11826,0.13882,
09_,364,727,-0.1722,0.1234,0.13882,
09_,365,729,-0.16958,0.1234,0.14397,
09_,366,731,-0.1601,0.1234,0.27765,
09_,367,733,-0.15748,0.12854,0.28793,
09_,368,735,-0.15829,0.12854,0.29821,
09_,369,737,-0.15959,0.13368,0.29821,
09_,370,739,-0.16089,0.12854,0.3085,
09_,371,741,-0.15876,0.13368,0.3085,
09_,372,743,-0.15663,0.13368,0.31878,
09_,373,745,-0.15793,0.13368,0.31878,
09_,374,747,-0.1558,0.12854,0.31878,
09_,375,749,-0.15367,0.13368,0.16453,
09_,376,751,-0.15497,0.13368,0.16967,
09_,377,753,-0.15284,0.13368,0.17482,
09_,378,755,-0.15414,0.13882,0.17482,
09_,379,757,-0.15544,0.13882,0.1851,
09_,380,759,-0.15674,0.14397,0.1851,
09_,381,761,-0.15803,0.14397,0.19538,
09_,382,763,-0.1559,0.14397,0.19538,
09_,383,765,-0.1572,0.14397,0.19538,
09_,384,767,-0.1585,0.13882,0.20052,
09_,385,769,-0.15637,0.13882,0.20567,
09_,386,771,-0.15767,0.13882,0.20567,
09_,387,773,-0.15554,0.13882,0.20567,
09_,388,775,-0.15684,0.14397,0.21081,
09_,389,777,-0.15814,0.14397,0.21081,
09_,390,779,-0.15601,0.14911,0.21081,
09_,391,781,-0.15731,0.15425,0.21081,
09_,392,783,-0.15861,0.15425,0.21595,
09_,393,785,-0.1599,0.16453,0.21595,
09_,394,787,-0.1612,0.16453,0.21595,
09_,395,789,-0.15907,0.16967,0.22109,
09_,396,791,-0.16037,0.16967,0.22109,
09_,397,793,-0.16167,0.16967,0.22623,
09_,398,795,-0.15954,0.16967,0.22623,
09_,399,797,-0.16084,0.16967,0.23137,
09_,400,799,-0.15871,0.16967,0.23137,
09_,401,801,-0.16001,0.16967,0.23137,
09_,402,803,-0.16131,0.16967,0.23651,
09_,403,805,-0.15918,0.16967,0.23651,
09_,404,807,-0.16048,0.16967,0.23651,
09_,405,809,-0.16178,0.17482,0.23137,
09_,406,811,-0.16307,0.17996,0.23137,
09_,407,813,-0.16094,0.17996,0.23651,
09_,408,815,-0.16224,0.1851,0.23137,
09_,409,817,-0.16011,0.1851,0.23651,
09_,410,819,-0.16141,0.1851,0.23651,
09_,411,821,-0.16271,0.1851,0.2468,
09_,412,823,-0.16058,0.1851,0.2468,
09_,413,825,-0.16188,0.1851,0.25194,
09_,414,827,-0.16318,0.1851,0.25194,
09_,415,829,-0.16105,0.19024,0.25708,
09_,416,831,-0.16235,0.19024,0.25708,
09_,417,833,-0.16365,0.19538,0.25194,
