** CONVERTED FROM /Users/slab/Documents/GitHub/poker/edfData/22_.EDF using edfapi 4.0 MacOS X Jul  7 2014 on Thu Mar  7 16:51:55 2019
** DATE: Thu Mar  7 19:59:56 2019
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v4.594 Jul  6 2012
** CAMERA: EyeLink CL Version 1.4 Sensor=BJA
** SERIAL NUMBER: CL1-AAC35
** CAMERA_CONFIG: AAC35140.SCD
** Psychopy GC demo
**

MSG	208314 DISPLAY_COORDS = 0 0 1919 1079
MSG	209196 TRIALID
INPUT	216273	127
MSG	216288 TRIALID
MSG	216288 TRIALID
MSG	216291 RECCFG CR 500 2 1 R
MSG	216291 ELCLCFG RTABLER
MSG	216291 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	216291 THRESHOLDS R 41 181
MSG	216291 ELCL_PROC ELLIPSE  (5)
MSG	216291 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
MSG	216292 !MODE RECORD CR 500 2 1 R
START	216293 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	RIGHT	RATE	 500.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	RIGHT	HTARGET	RATE	 500.00	TRACKING	CR	FILTER	2	INPUT
INPUT	216293	127
216293	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
SSACC R  216295
SBLINK R 216295
216561	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216563	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216565	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216567	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216569	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216571	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216573	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216575	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216577	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216579	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216581	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216583	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216585	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216587	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216589	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216591	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216593	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216595	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216597	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216599	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216601	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216603	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216605	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216607	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216609	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216611	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216613	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216615	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216617	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216619	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216621	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216623	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216625	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216627	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216629	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216631	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216633	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216635	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216637	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216639	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216641	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216643	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216645	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216647	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216649	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216651	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216653	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216655	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216657	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216659	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216661	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216663	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216665	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216667	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216669	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216671	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216673	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216675	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216677	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216679	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216681	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216683	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216685	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216687	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216689	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216691	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216693	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216695	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216697	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216699	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216701	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216703	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216705	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216707	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216709	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216711	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216713	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216715	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216717	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216719	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216721	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216723	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216725	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216727	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216729	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216731	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216733	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216735	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216737	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216739	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216741	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216743	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216745	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216747	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216749	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216751	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216753	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216755	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216757	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216759	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216761	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216763	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216765	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216767	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216769	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216771	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216773	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216775	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216777	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216779	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216781	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216783	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216785	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216787	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216789	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216791	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216793	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216795	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216797	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216799	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216801	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216803	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216805	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216807	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216809	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216811	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216813	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216815	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216817	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216819	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216821	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216823	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216825	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216827	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216829	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216831	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216833	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216835	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216837	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216839	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216841	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216843	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216845	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216847	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216849	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216851	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216853	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216855	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216857	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216859	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
